date,forecast_sales
2021-09-29,20.337419434482033
2021-09-30,21.19058589570868
2021-10-01,21.89018113104875
2021-10-02,22.46384818847954
2021-10-03,22.9342543264249
2021-10-04,23.319986663240087
2021-10-05,23.636286608463568
2021-10-06,23.895652095356386
2021-10-07,24.108331410693033
2021-10-08,24.28272813445897
2021-10-09,24.425733189803214
2021-10-10,24.542997123507938
2021-10-11,24.63915337557053
2021-10-12,24.71800135993038
2021-10-13,24.78265659039386
2021-10-14,24.835673783670575
2021-10-15,24.879147803680887
2021-10-16,24.91479643573865
2021-10-17,24.944028261258545
2021-10-18,24.967998314915608
2021-10-19,24.98765372343368
2021-10-20,25.003771129324363
2021-10-21,25.01698737829757
2021-10-22,25.027824682892774
2021-10-23,25.036711256619352
2021-10-24,25.043998233921148
2021-10-25,25.04997354452236
2021-10-26,25.054873290370637
2021-10-27,25.05889107471357
2021-10-28,25.06218565192761
