date,forecast_sales
2021-09-29,14.482137469785537
2021-09-30,14.48627784397891
2021-10-01,14.377987662418946
2021-10-02,14.243252487817037
2021-10-03,14.102297138883491
2021-10-04,13.959878731568551
2021-10-05,13.817116195662798
2021-10-06,13.674272716652844
2021-10-07,13.531410198869906
2021-10-08,13.388543202942966
2021-10-09,13.245675153703727
2021-10-10,13.102806856713011
2021-10-11,12.959938501448223
2021-10-12,12.817070132476685
2021-10-13,12.67420176028116
2021-10-14,12.531333387327315
2021-10-15,12.388465014195104
2021-10-16,12.245596641020938
2021-10-17,12.102728267836905
2021-10-18,11.95985989465055
2021-10-19,11.81699152146365
2021-10-20,11.674123148276623
2021-10-21,11.531254775089563
2021-10-22,11.388386401902496
2021-10-23,11.245518028715427
2021-10-24,11.10264965552836
2021-10-25,10.959781282341291
2021-10-26,10.816912909154222
2021-10-27,10.674044535967154
2021-10-28,10.531176162780085
