date,forecast_sales
2021-09-30,73.26375394815463
2021-10-01,48.35054150265266
2021-10-02,71.18259743212174
2021-10-03,50.25784599323116
2021-10-04,69.43462201952984
2021-10-05,51.859802082633045
2021-10-06,67.96648734561784
2021-10-07,53.20529428120352
2021-10-08,66.73339252905707
2021-10-09,54.33538097233743
2021-10-10,65.6977090501175
2021-10-11,55.284547330072435
2021-10-12,64.82783249712045
2021-10-13,56.08175765183276
2021-10-14,64.09721814163343
2021-10-15,56.75133921879623
2021-10-16,63.48357091248971
2021-10-17,57.313724655336074
2021-10-18,62.96816505027563
2021-10-19,57.786075441016166
2021-10-20,62.53527268119362
2021-10-21,58.18280560192744
2021-10-22,62.17168387293984
2021-10-23,58.516021562074656
2021-10-24,61.86630352685578
2021-10-25,58.795891577103994
2021-10-26,61.60981280531156
2021-10-27,59.030956023830726
2021-10-28,61.394384762603906
2021-10-29,59.2283880142108
