date,forecast_sales
2021-09-30,38.76280142524911
2021-10-01,47.071854860778316
2021-10-02,54.25314482204168
2021-10-03,60.45973934064553
2021-10-04,65.82393097281106
2021-10-05,70.46005659376871
2021-10-06,74.46693446972242
2021-10-07,77.92997055317757
2021-10-08,80.9229788969764
2021-10-09,83.50975498887081
2021-10-10,85.74543554200403
2021-10-11,87.67767372501493
2021-10-12,89.34765488160404
2021-10-13,90.79097438945946
2021-10-14,92.03839636996302
2021-10-15,93.11650942045142
2021-10-16,94.04829334585908
2021-10-17,94.85360896953581
2021-10-18,95.5496214634776
2021-10-19,96.15116622118559
2021-10-20,96.67106507167406
2021-10-21,97.12039957467783
2021-10-22,97.50874722230186
2021-10-23,97.84438558171327
2021-10-24,98.13446873014382
2021-10-25,98.38517974288668
2021-10-26,98.60186248454409
2021-10-27,98.78913551263531
2021-10-28,98.95099052140158
2021-10-29,99.09087742412184
