date,forecast_sales
2021-09-19,8.204856381326868
2021-09-20,9.423503799046008
2021-09-21,9.423503799046008
2021-09-22,9.423503799046008
2021-09-23,9.423503799046008
2021-09-24,9.423503799046008
2021-09-25,9.423503799046008
2021-09-26,9.423503799046008
2021-09-27,9.423503799046008
2021-09-28,9.423503799046008
2021-09-29,9.423503799046008
2021-09-30,9.423503799046008
2021-10-01,9.423503799046008
2021-10-02,9.423503799046008
2021-10-03,9.423503799046008
2021-10-04,9.423503799046008
2021-10-05,9.423503799046008
2021-10-06,9.423503799046008
2021-10-07,9.423503799046008
2021-10-08,9.423503799046008
2021-10-09,9.423503799046008
2021-10-10,9.423503799046008
2021-10-11,9.423503799046008
2021-10-12,9.423503799046008
2021-10-13,9.423503799046008
2021-10-14,9.423503799046008
2021-10-15,9.423503799046008
2021-10-16,9.423503799046008
2021-10-17,9.423503799046008
2021-10-18,9.423503799046008
